Timestamp,Residents,Apartment_Type,Temperature,Humidity,Water_Price,Period_Consumption_Index,Income_Level,Guests,Amenities,Appliance_Usage,Water_Consumption,Hour,Day,Month,Weekday,Is_Weekend,Year,Is_Summer,Is_Day,Apartment_Type_Encode,Income_Level_Encoded,Amenities_Encoded
18/01/2002 08,3,2BHK,30.54,63.21,1.59,1.07,Middle,1,Unknown,0.0,138.51,8,18,1,4,0,2002,0,1,1,1.0,0.0
18/01/2002 16,3,Bungalow,30.79,42.0,1.72,1.33,Upper Middle,0,Swimming Pool,0.0,319.47,16,18,1,4,0,2002,0,1,3,2.0,4.0
19/01/2002 00,4,Bungalow,24.48,54.11,1.55,0.88,Upper Middle,0,Swimming Pool,0.0,169.06,0,19,1,5,1,2002,0,0,3,2.0,4.0
19/01/2002 08,2,Cottage,30.27,53.5,1.77,0.92,Middle,0,Fountain,0.0,93.7,8,19,1,5,1,2002,0,1,4,1.0,2.0
19/01/2002 16,3,1BHK,26.01,66.5,1.08,1.34,Low,0,Unknown,0.0,113.9,16,19,1,5,1,2002,0,1,0,0.0,0.0
20/01/2002 00,2,1BHK,26.41,64.14,1.46,0.86,Middle,0,Jacuzzi,1.0,95.31,0,20,1,6,1,2002,0,0,0,1.0,3.0
20/01/2002 08,3,Cottage,30.8,53.31,1.7601349325337332,0.87,Middle,1,Unknown,0.0,108.87,8,20,1,6,1,2002,0,1,4,1.0,0.0
20/01/2002 16,3,1BHK,29.18,50.13,1.27,0.99,Middle,1,Swimming Pool,0.0,166.32,16,20,1,6,1,2002,0,1,0,1.0,4.0
21/01/2002 00,3,3BHK,10.56,70.2,1.7,1.23,Rich,0,Jacuzzi,0.0,186.8,0,21,1,0,0,2002,0,0,2,3.0,3.0
21/01/2002 08,4,3BHK,33.68,57.41,1.89,1.43,Upper Middle,0,Unknown,1.0,262.97,8,21,1,0,0,2002,0,1,2,2.0,0.0
21/01/2002 16,1,Studio,23.88,59.25,1.31,1.39,Low,0,Jacuzzi,0.0,86.6,16,21,1,0,0,2002,0,1,6,0.0,3.0
22/01/2002 00,4,3BHK,20.81,43.28,2.36,1.1,Upper Middle,1,Unknown,0.0,205.98,0,22,1,1,0,2002,0,0,2,2.0,0.0
22/01/2002 08,4,2BHK,14.04,68.29,1.24,1.21,Middle,1,Unknown,0.0,158.16,8,22,1,1,0,2002,0,1,1,1.0,0.0
22/01/2002 16,5,Bungalow,25.81,43.61,2.98,1.01,Upper Middle,0,Swimming Pool,0.0,217.59,16,22,1,1,0,2002,0,1,3,2.0,4.0
23/01/2002 00,3,Bungalow,31.45,34.76,2.09,1.04,Upper Middle,0,Unknown,0.0,145.26,0,23,1,2,0,2002,0,0,3,2.0,0.0
23/01/2002 08,2,Cottage,26.37,38.41,1.19,0.98,Middle,1,Garden,0.0,115.33,8,23,1,2,0,2002,0,1,4,1.0,1.0
23/01/2002 16,3,1BHK,17.25,47.55,1.14,1.12,Low,1,Unknown,1.0,139.18,16,23,1,2,0,2002,0,1,0,0.0,0.0
24/01/2002 08,4,2BHK,24.11,68.54,1.29,1.49,Middle,1,Unknown,0.0,210.26,8,24,1,3,0,2002,0,1,1,1.0,0.0
24/01/2002 16,3,Cottage,19.55,65.54,1.01,0.86,Middle,1,Garden,1.0,113.09,16,24,1,3,0,2002,0,1,4,1.0,1.0
25/01/2002 00,5,Bungalow,25.72,41.85,2.86,0.96,Upper Middle,1,Unknown,0.0,193.5,0,25,1,4,0,2002,0,0,3,2.0,0.0
25/01/2002 08,3,1BHK,13.02,45.07,1.13,1.15,Middle,0,Unknown,1.0,129.7,8,25,1,4,0,2002,0,1,0,1.0,0.0
25/01/2002 16,4,2BHK,32.29,47.9,1.55,1.47,Upper Middle,0,Jacuzzi,0.0,289.16,16,25,1,4,0,2002,0,1,1,2.0,3.0
26/01/2002 00,2,1BHK,12.09,42.17,1.32,1.29,Middle,0,Unknown,0.0,103.46,0,26,1,5,1,2002,0,0,0,1.0,0.0
26/01/2002 08,5,2BHK,34.66,41.13,1.44,1.32,Middle,1,Jacuzzi,1.0,401.61,8,26,1,5,1,2002,0,1,1,1.0,3.0
26/01/2002 16,5,2BHK,28.23,43.34,2.46,1.08,Upper Middle,1,Unknown,0.0,225.21,16,26,1,5,1,2002,0,1,1,2.0,0.0
27/01/2002 00,2,Studio,16.96,22.72,1.6,1.48,Low,0,Unknown,1.0,127.57,0,27,1,6,1,2002,0,0,6,0.0,0.0
27/01/2002 08,3,Cottage,27.87,34.55,1.53,1.1,Middle,0,Unknown,0.0,128.15,8,27,1,6,1,2002,0,1,4,1.0,0.0
27/01/2002 16,5,2BHK,13.18,57.18,1.74,1.16,Middle,1,Unknown,0.0,183.88,16,27,1,6,1,2002,0,1,1,1.0,0.0
28/01/2002 00,2,1BHK,29.56,61.2,1.7,1.09,Middle,0,Unknown,0.0,86.94,0,28,1,0,0,2002,0,0,0,1.0,0.0
28/01/2002 08,5,2BHK,27.79,48.24,1.31,1.0,Middle,0,Jacuzzi,0.0,201.21,8,28,1,0,0,2002,0,1,1,1.0,3.0
28/01/2002 16,2,Studio,18.18,62.24,1.79,1.49,Low,1,Swimming Pool,0.0,135.52,16,28,1,0,0,2002,0,1,6,0.0,4.0
29/01/2002 00,4,Detached,29.11,55.95,2.35,1.23,Rich,0,Swimming Pool,0.0,287.81,0,29,1,1,0,2002,0,0,5,3.0,4.0
29/01/2002 08,4,2BHK,19.47,52.26,1.54,1.1,Middle,1,Unknown,0.0,165.71,8,29,1,1,0,2002,0,1,1,1.0,0.0
30/01/2002 00,3,1BHK,19.01,65.05,1.43,1.34,Middle,0,Unknown,0.0,118.51,0,30,1,2,0,2002,0,0,0,1.0,0.0
30/01/2002 08,5,3BHK,21.69,61.77,2.95,1.18,Upper Middle,0,Fountain,0.0,218.18,8,30,1,2,0,2002,0,1,2,2.0,2.0
30/01/2002 16,2,Cottage,20.42,56.2,1.38,1.09,Middle,1,Unknown,0.0,102.18,16,30,1,2,0,2002,0,1,4,1.0,0.0
31/01/2002 00,2,1BHK,13.52,53.96,1.59,1.27,Middle,0,Jacuzzi,0.0,135.37,0,31,1,3,0,2002,0,0,0,1.0,3.0
31/01/2002 08,3,3BHK,26.44,39.96,2.44,1.28,Upper Middle,0,Jacuzzi,1.0,257.05,8,31,1,3,0,2002,0,1,2,2.0,3.0
01/02/2002 00,5,2BHK,14.94,50.36,1.6,1.22,Middle,0,Fountain,1.0,237.92,0,1,2,4,0,2002,0,0,1,1.0,2.0
01/02/2002 08,3,3BHK,24.09,37.81,1.5,1.17,Upper Middle,0,Unknown,0.0,170.96,8,1,2,4,0,2002,0,1,2,2.0,0.0
01/02/2002 16,4,2BHK,24.35,53.45,1.57,0.91,Middle,1,Unknown,1.0,162.38,16,1,2,4,0,2002,0,1,1,1.0,0.0
02/02/2002 00,2,Studio,10.05,47.93,1.34,1.31,Low,1,Unknown,0.0,96.77,0,2,2,5,1,2002,0,0,6,0.0,0.0
02/02/2002 08,3,1BHK,15.63,43.24,1.59,0.94,Middle,0,Unknown,1.0,96.75,8,2,2,5,1,2002,0,1,0,1.0,0.0
02/02/2002 16,4,Bungalow,17.7,63.72,2.31,1.45,Upper Middle,1,Jacuzzi,0.0,263.95,16,2,2,5,1,2002,0,1,3,2.0,3.0
03/02/2002 00,5,Bungalow,33.76,57.33,2.53,0.83,Upper Middle,0,Unknown,0.0,135.67,0,3,2,6,1,2002,0,0,3,2.0,0.0
03/02/2002 08,3,1BHK,23.12,48.16,1.75,1.38,Middle,0,Unknown,0.0,145.27,8,3,2,6,1,2002,0,1,0,1.0,0.0
03/02/2002 16,5,Detached,22.54,68.3,2.25,1.1,Rich,0,Fountain,0.0,239.52,16,3,2,6,1,2002,0,1,5,3.0,2.0
04/02/2002 00,1,Studio,22.9,53.07,1.22,0.9,Low,1,Unknown,0.0,56.11,0,4,2,0,0,2002,0,0,6,0.0,0.0
04/02/2002 08,3,1BHK,26.18,58.02,1.47,1.48,Middle,0,Unknown,0.0,146.04,8,4,2,0,0,2002,0,1,0,1.0,0.0
04/02/2002 16,3,Cottage,32.03,55.57,1.17,1.19,Middle,0,Fountain,0.0,152.19,16,4,2,0,0,2002,0,1,4,1.0,2.0
05/02/2002 00,2,1BHK,10.52,50.27,1.47,1.04,Middle,1,Jacuzzi,0.0,115.83,0,5,2,1,0,2002,0,0,0,1.0,3.0
05/02/2002 08,4,3BHK,16.82,55.53,2.06,0.96,Upper Middle,0,Unknown,1.0,155.27,8,5,2,1,0,2002,0,1,2,2.0,0.0
05/02/2002 16,4,Detached,34.55,54.37,2.87,1.34,Rich,0,Swimming Pool,1.0,371.76,16,5,2,1,0,2002,0,1,5,3.0,4.0
06/02/2002 00,2,1BHK,28.17,61.07,1.09,0.98,Low,0,Swimming Pool,0.0,94.22,0,6,2,2,0,2002,0,0,0,0.0,4.0
06/02/2002 08,3,Cottage,31.23,57.07,1.32,1.46,Middle,1,Unknown,0.0,181.84,8,6,2,2,0,2002,0,1,4,1.0,0.0
06/02/2002 16,1,Studio,11.71,55.76,1.01,1.06,Low,0,Unknown,0.0,49.77,16,6,2,2,0,2002,0,1,6,0.0,0.0
07/02/2002 00,2,1BHK,28.43,47.8,1.73,1.09,Low,0,Unknown,1.0,98.35,0,7,2,3,0,2002,0,0,0,0.0,0.0
07/02/2002 08,4,Detached,28.4,49.47,1.82,1.28,Rich,1,Jacuzzi,1.0,417.21,8,7,2,3,0,2002,0,1,5,3.0,3.0
07/02/2002 16,5,2BHK,23.4,70.21,1.54,1.25,Middle,1,Garden,0.0,208.2,16,7,2,3,0,2002,0,1,1,1.0,1.0
08/02/2002 00,3,Detached,16.6,42.93,1.7601349325337332,1.19,Rich,0,Swimming Pool,0.0,230.53,0,8,2,4,0,2002,0,0,5,3.0,4.0
08/02/2002 08,3,Cottage,13.99,55.85,1.77,0.89,Middle,1,Garden,1.0,114.42,8,8,2,4,0,2002,0,1,4,1.0,1.0
08/02/2002 16,3,3BHK,14.53,61.52,2.31,0.95,Rich,0,Garden,0.0,130.76,16,8,2,4,0,2002,0,1,2,3.0,1.0
09/02/2002 00,1,Studio,17.42,53.11,1.67,0.89,Low,1,Unknown,0.0,51.56,0,9,2,5,1,2002,0,0,6,0.0,0.0
09/02/2002 08,5,3BHK,20.78,76.94,1.8,1.45,Rich,0,Unknown,0.0,247.84,8,9,2,5,1,2002,0,1,2,3.0,0.0
09/02/2002 16,4,3BHK,20.3,54.87,1.88,1.22,Upper Middle,0,Swimming Pool,0.0,216.21,16,9,2,5,1,2002,0,1,2,2.0,4.0
10/02/2002 00,3,Bungalow,16.96,65.81,1.75,0.94,Upper Middle,0,Unknown,0.0,96.92,0,10,2,6,1,2002,0,0,3,2.0,0.0
10/02/2002 08,2,1BHK,24.56,64.9,1.75,1.19,Low,1,Garden,0.0,100.84,8,10,2,6,1,2002,0,1,0,0.0,1.0
10/02/2002 16,2,1BHK,34.04,49.39,1.01,1.46,Middle,1,Unknown,0.0,163.18,16,10,2,6,1,2002,0,1,0,1.0,0.0
11/02/2002 00,5,3BHK,25.35,55.07,2.27,1.42,Upper Middle,1,Fountain,0.0,353.19,0,11,2,0,0,2002,0,0,2,2.0,2.0
11/02/2002 08,2,Studio,33.42,36.8,1.04,0.81,Low,0,Unknown,0.0,66.02,8,11,2,0,0,2002,0,1,6,0.0,0.0
11/02/2002 16,5,2BHK,26.65,59.82,1.25,0.85,Middle,0,Swimming Pool,0.0,164.11,16,11,2,0,0,2002,0,1,1,1.0,4.0
12/02/2002 00,3,3BHK,17.94,64.31,2.86,1.49,Upper Middle,1,Unknown,1.0,222.01,0,12,2,1,0,2002,0,0,2,2.0,0.0
12/02/2002 08,5,Bungalow,22.31,62.65,1.87,0.9,Upper Middle,1,Swimming Pool,0.0,199.61,8,12,2,1,0,2002,0,1,3,2.0,4.0
12/02/2002 16,3,1BHK,22.84,54.31,1.21,0.92,Middle,1,Swimming Pool,0.0,142.98,16,12,2,1,0,2002,0,1,0,1.0,4.0
13/02/2002 00,3,Bungalow,13.21,51.31,2.52,0.92,Upper Middle,0,Unknown,0.0,97.49,0,13,2,2,0,2002,0,0,3,2.0,0.0
13/02/2002 08,5,3BHK,32.62,36.98,2.59,0.95,Upper Middle,0,Swimming Pool,1.0,288.23,8,13,2,2,0,2002,0,1,2,2.0,4.0
13/02/2002 16,4,2BHK,31.88,65.92,2.06,1.28,Upper Middle,0,Jacuzzi,0.0,215.49,16,13,2,2,0,2002,0,1,1,2.0,3.0
14/02/2002 00,2,Studio,28.2,49.5,1.36,1.32,Low,0,Unknown,0.0,93.8,0,14,2,3,0,2002,0,0,6,0.0,0.0
14/02/2002 08,4,Bungalow,13.81,51.65,2.67,1.08,Upper Middle,0,Unknown,1.0,155.58,8,14,2,3,0,2002,0,1,3,2.0,0.0
14/02/2002 16,3,Bungalow,33.58,50.6,2.38,1.03,Upper Middle,1,Jacuzzi,0.0,196.14,16,14,2,3,0,2002,0,1,3,2.0,3.0
15/02/2002 00,4,2BHK,20.94,50.03,1.49,1.05,Middle,0,Unknown,0.0,136.04,0,15,2,4,0,2002,0,0,1,1.0,0.0
15/02/2002 08,1,Studio,27.4,47.14,1.6,1.17,Low,0,Unknown,0.0,64.31,8,15,2,4,0,2002,0,1,6,0.0,0.0
15/02/2002 16,2,1BHK,15.31,57.31,1.5,1.39,Middle,1,Unknown,0.0,123.18,16,15,2,4,0,2002,0,1,0,1.0,0.0
16/02/2002 00,4,3BHK,28.48,49.33,1.69,0.92,Upper Middle,0,Unknown,0.0,150.55,0,16,2,5,1,2002,0,0,2,2.0,0.0
16/02/2002 08,2,1BHK,11.7,62.26,1.05,1.42,Middle,0,Swimming Pool,0.0,130.75,8,16,2,5,1,2002,0,1,0,1.0,4.0
16/02/2002 16,2,Cottage,26.08,43.69,1.23,1.14,Middle,0,Unknown,0.0,102.48,16,16,2,5,1,2002,0,1,4,1.0,0.0
17/02/2002 08,4,2BHK,33.78,38.86,1.23,1.04,Middle,1,Unknown,0.0,195.38,8,17,2,6,1,2002,0,1,1,1.0,0.0
17/02/2002 16,2,1BHK,22.46,44.4,1.4,1.48,Low,0,Unknown,0.0,115.13,16,17,2,6,1,2002,0,1,0,0.0,0.0
18/02/2002 00,1,Studio,27.19,55.02,1.74,1.25,Low,0,Garden,0.0,67.97,0,18,2,0,0,2002,0,0,6,0.0,1.0
18/02/2002 08,1,Studio,23.11,54.58,1.14,1.46,Low,0,Unknown,0.0,75.32,8,18,2,0,0,2002,0,1,6,0.0,0.0
18/02/2002 16,3,2BHK,21.47,55.93,1.74,1.39,Upper Middle,0,Fountain,0.0,191.3,16,18,2,0,0,2002,0,1,1,2.0,2.0
19/02/2002 00,1,Studio,22.44,51.16,1.7,1.27,Low,1,Garden,0.0,81.65,0,19,2,1,0,2002,0,0,6,0.0,1.0
19/02/2002 08,5,2BHK,30.0,54.72,1.99,1.17,Upper Middle,0,Jacuzzi,0.0,244.57,8,19,2,1,0,2002,0,1,1,2.0,3.0
19/02/2002 16,2,1BHK,18.83,67.28,1.77,1.08,Low,0,Unknown,1.0,78.18,16,19,2,1,0,2002,0,1,0,0.0,0.0
20/02/2002 00,2,Cottage,10.6,61.77,1.48,1.39,Middle,1,Garden,0.0,120.69,0,20,2,2,0,2002,0,0,4,1.0,1.0
20/02/2002 08,5,Bungalow,30.46,35.32,2.08,0.92,Upper Middle,1,Garden,1.0,251.24,8,20,2,2,0,2002,0,1,3,2.0,1.0
20/02/2002 16,3,2BHK,29.13,38.34,1.51,1.18,Middle,1,Swimming Pool,0.0,231.48,16,20,2,2,0,2002,0,1,1,1.0,4.0
21/02/2002 00,4,Bungalow,28.3,54.67,2.12,1.29,Rich,0,Swimming Pool,0.0,282.01,0,21,2,3,0,2002,0,0,3,3.0,4.0
21/02/2002 08,4,2BHK,15.68,56.84,1.22,0.83,Middle,0,Unknown,0.0,99.58,8,21,2,3,0,2002,0,1,1,1.0,0.0
21/02/2002 16,3,2BHK,33.64,68.09,1.23,0.89,Middle,0,Fountain,0.0,115.97,16,21,2,3,0,2002,0,1,1,1.0,2.0
22/02/2002 00,3,Cottage,15.62,70.05,1.7601349325337332,1.21,Middle,0,Jacuzzi,0.0,123.7,0,22,2,4,0,2002,0,0,4,1.0,3.0
22/02/2002 08,5,Bungalow,13.64,56.44,2.39,1.2,Upper Middle,0,Unknown,0.0,170.1,8,22,2,4,0,2002,0,1,3,2.0,0.0
22/02/2002 16,2,1BHK,28.37,58.29,1.7601349325337332,1.02,Middle,1,Jacuzzi,1.0,147.41,16,22,2,4,0,2002,0,1,0,1.0,3.0
23/02/2002 00,4,Bungalow,15.18,34.49,1.6,1.34,Rich,0,Unknown,0.0,235.66,0,23,2,5,1,2002,0,0,3,3.0,0.0
23/02/2002 08,5,2BHK,26.5,62.3,2.34,1.16,Upper Middle,0,Swimming Pool,0.0,227.54,8,23,2,5,1,2002,0,1,1,2.0,4.0
23/02/2002 16,5,2BHK,11.53,60.22,1.01,1.36,Middle,0,Garden,1.0,217.05,16,23,2,5,1,2002,0,1,1,1.0,1.0
24/02/2002 00,2,1BHK,12.74,48.47,1.02,1.16,Low,0,Jacuzzi,0.0,102.98,0,24,2,6,1,2002,0,0,0,0.0,3.0
24/02/2002 08,3,Bungalow,13.06,68.17,2.84,1.21,Upper Middle,0,Swimming Pool,0.0,145.25,8,24,2,6,1,2002,0,1,3,2.0,4.0
24/02/2002 16,5,Bungalow,15.06,71.56,2.59,0.84,Upper Middle,0,Fountain,1.0,146.3,16,24,2,6,1,2002,0,1,3,2.0,2.0
25/02/2002 00,2,1BHK,14.59,50.75,1.52,1.5,Low,0,Garden,0.0,108.88,0,25,2,0,0,2002,0,0,0,0.0,1.0
25/02/2002 08,5,2BHK,31.21,41.68,1.48,1.0,Middle,1,Garden,1.0,248.45,8,25,2,0,0,2002,0,1,1,1.0,1.0
25/02/2002 16,3,Cottage,28.13,59.68,1.02,1.11,Middle,0,Garden,0.0,118.3,16,25,2,0,0,2002,0,1,4,1.0,1.0
26/02/2002 00,2,Cottage,34.84,38.84,1.03,1.06,Middle,1,Unknown,1.0,147.03,0,26,2,1,0,2002,0,0,4,1.0,0.0
26/02/2002 08,3,2BHK,30.22,53.21,1.97,1.22,Upper Middle,0,Fountain,0.0,181.83,8,26,2,1,0,2002,0,1,1,2.0,2.0
26/02/2002 16,2,Cottage,18.21,59.45,1.64,0.93,Middle,1,Fountain,0.0,99.29,16,26,2,1,0,2002,0,1,4,1.0,2.0
27/02/2002 00,2,1BHK,21.86,51.41,1.1,1.19,Middle,0,Unknown,0.0,99.11,0,27,2,2,0,2002,0,0,0,1.0,0.0
27/02/2002 08,5,3BHK,18.82,50.99,2.45,1.11,Upper Middle,1,Fountain,0.0,223.07,8,27,2,2,0,2002,0,1,2,2.0,2.0
27/02/2002 16,4,Bungalow,19.91,44.51,2.54,1.23,Rich,1,Swimming Pool,0.0,316.06,16,27,2,2,0,2002,0,1,3,3.0,4.0
28/02/2002 00,4,2BHK,15.25,49.5,1.05,1.17,Middle,0,Unknown,1.0,170.35,0,28,2,3,0,2002,0,0,1,1.0,0.0
28/02/2002 08,2,Cottage,25.92,45.53,1.41,0.86,Middle,0,Unknown,0.0,75.38,8,28,2,3,0,2002,0,1,4,1.0,0.0
